rank,team,conference,record
108,St. Thomas (MN),19-8,Summit League
109,South Carolina,12-16,SEC
110,Pacific,15-13,WCC
111,UIC,15-13,MVC
112,UAB,17-10,American
113,California Baptist,20-8,WAC
114,Bradley,18-11,MVC
115,Southern Ill.,14-15,MVC
116,Utah,10-18,Big 12
117,UC Irvine,17-10,Big West
118,Memphis,12-16,American
119,Fla. Atlantic,14-13,American
120,UC San Diego,18-9,Big West
121,Seattle U,16-12,WCC
122,William & Mary,15-11,CAA
123,Pittsburgh,10-18,ACC
124,North Dakota St.,20-7,Summit League
125,ETSU,19-9,SoCon
126,San Francisco,14-15,WCC
127,Winthrop,17-10,Big South
128,Washington St.,11-18,WCC
129,UNLV,13-14,Mountain West
130,Navy,22-6,Patriot
131,Penn St.,11-17,Big Ten
132,UTRGV,14-13,Southland
133,Fresno St.,11-16,Mountain West
134,Duquesne,14-12,Atlantic 10
135,UC Santa Barbara,16-11,Big West
136,Troy,17-11,Sun Belt
137,Rhode Island,15-13,Atlantic 10
138,Richmond,14-13,Atlantic 10
139,Montana St.,13-13,Big Sky
140,Maryland,11-17,Big Ten
141,Saint Joseph's,16-10,Atlantic 10
142,Austin Peay,19-7,ASUN
143,Western Ky.,15-11,CUSA
144,Kent St.,19-7,MAC
145,Portland St.,15-9,Big Sky
146,St. Bonaventure,14-13,Atlantic 10
147,Wright St.,17-11,Horizon
148,Marshall,18-11,Sun Belt
149,Valparaiso,16-13,MVC
150,Arkansas St.,17-11,Sun Belt
151,Robert Morris,18-10,Horizon
152,Harvard,14-10,Ivy League
153,Col. of Charleston,19-10,CAA
154,North Texas,14-13,American
155,Northern Colo.,15-11,Big Sky
156,Boston College,10-18,ACC
157,Middle Tenn.,11-14,CUSA
158,Kennesaw St.,14-11,CUSA
159,Utah Tech,15-12,WAC
160,Toledo,13-13,MAC
161,Idaho,13-13,Big Sky
162,Oakland,15-14,Horizon
163,Bowling Green,13-13,MAC
164,Rutgers,11-17,Big Ten
165,Penn,12-11,Ivy League
166,South Alabama,19-9,Sun Belt
167,LMU (CA),14-15,WCC
168,Cornell,10-12,Ivy League
169,Central Ark.,17-11,ASUN
170,Marist,17-10,MAAC
171,Georgia Tech,11-17,ACC
172,CSUN,16-11,Big West
173,UT Arlington,13-13,WAC
174,Temple,14-13,American
175,Charlotte,14-13,American
176,UC Davis,15-12,Big West
177,Merrimack,20-9,MAAC
178,Oregon St.,16-14,WCC
179,Fordham,13-12,Atlantic 10
180,Mercer,15-12,SoCon
181,App State,17-11,Sun Belt
182,Lipscomb,16-12,ASUN
183,Columbia,13-10,Ivy League
184,Towson,13-14,CAA
185,Buffalo,14-12,MAC
186,New Mexico St.,10-14,CUSA
187,UT Martin,18-9,OVC
188,Siena,19-10,MAAC
189,Furman,16-11,SoCon
190,Monmouth,14-14,CAA
191,Northern Ky.,15-12,Horizon
192,Montana,12-13,Big Sky
193,Tulane,16-11,American
194,Cal St. Fullerton,13-14,Big West
195,Weber St.,13-14,Big Sky
196,LIU,20-10,NEC
197,A&M-Corpus Christi,11-14,Southland
198,Massachusetts,14-14,MAC
199,Queens (NC),17-12,ASUN
200,Drake,10-18,MVC
201,Eastern Wash.,11-17,Big Sky
202,South Dakota St.,11-16,Summit League
203,Elon,12-15,CAA
204,FIU,10-15,CUSA
205,Quinnipiac,17-11,MAAC
206,New Orleans,14-15,Southland
207,James Madison,16-13,Sun Belt
208,Youngstown St.,12-15,Horizon
209,Tennessee St.,17-9,OVC
210,Howard,14-10,MEAC
211,Campbell,11-16,CAA
212,Drexel,15-14,CAA
213,Jacksonville St.,11-14,CUSA
214,Ohio,13-13,MAC
215,Samford,15-13,SoCon
216,Tarleton St.,10-15,WAC
217,Idaho St.,9-17,Big Sky
218,Missouri St.,10-15,CUSA
219,Green Bay,14-14,Horizon
220,Stony Brook,15-12,CAA
221,Coastal Carolina,17-12,Sun Belt
222,Southeast Mo. St.,15-12,OVC
223,Colgate,15-13,Patriot
224,Cal Poly,11-16,Big West
225,Vermont,17-11,America East
226,Indiana St.,8-20,MVC
227,Wofford,17-11,SoCon
228,Lamar University,10-17,Southland
229,Portland,10-18,WCC
230,UNC Asheville,11-15,Big South
231,Denver,12-16,Summit League
232,Southern Miss.,13-15,Sun Belt
233,Eastern Mich.,9-19,MAC
234,Abilene Christian,10-15,WAC
235,Saint Peter's,14-11,MAAC
236,Iona,16-13,MAAC
237,San Diego,9-19,WCC
238,UMBC,17-8,America East
239,La Salle,7-20,Atlantic 10
240,Fairfield,17-11,MAAC
241,Texas St.,16-12,Sun Belt
242,Louisiana Tech,13-12,CUSA
243,Dartmouth,9-13,Ivy League
244,Radford,13-14,Big South
245,Western Caro.,11-15,SoCon
246,Detroit Mercy,12-14,Horizon
247,Milwaukee,11-19,Horizon
248,Nicholls,11-17,Southland
249,Bethune-Cookman,15-13,SWAC
250,San Jose St.,7-20,Mountain West
251,FGCU,12-16,ASUN
252,American,14-14,Patriot
253,Charleston So.,11-16,Big South
254,Rice,9-17,American
255,Old Dominion,9-20,Sun Belt
256,Purdue Fort Wayne,13-14,Horizon
257,Omaha,11-15,Summit League
258,Princeton,7-18,Ivy League
259,Morehead St.,16-12,OVC
260,SIUE,15-12,OVC
261,Ga. Southern,13-15,Sun Belt
262,Presbyterian,11-16,Big South
263,UTEP,7-18,CUSA
264,Lindenwood,13-14,OVC
265,N.C. A&T,9-16,CAA
266,Boston U.,13-16,Patriot
267,Long Beach St.,6-21,Big West
268,Sacramento St.,6-19,Big Sky
269,Longwood,12-15,Big South
270,East Carolina,9-18,American
271,Hampton,10-17,CAA
272,Delaware,9-18,CUSA
273,North Dakota,13-15,Summit League
274,Pepperdine,6-22,WCC
275,UC Riverside,7-21,Big West
276,Central Mich.,7-19,MAC
277,Brown,7-15,Ivy League
278,Northeastern,6-21,CAA
279,Southern Utah,6-19,WAC
280,Mercyhurst,12-16,NEC
281,Eastern Ky.,9-19,ASUN
282,Central Conn. St.,15-11,NEC
283,Le Moyne,14-15,NEC
284,Chattanooga,9-18,SoCon
285,Western Mich.,9-17,MAC
286,UIW,8-18,Southland
287,South Dakota,12-15,Summit League
288,Southern U.,10-15,SWAC
289,Grambling,10-16,SWAC
290,Mount St. Mary's,13-15,MAAC
291,USC Upstate,9-18,Big South
292,Northwestern St.,8-19,Southland
293,Lehigh,12-16,Patriot
294,Bellarmine,9-18,ASUN
295,Georgia St.,8-20,Sun Belt
296,UNC Greensboro,11-17,SoCon
297,Sacred Heart,11-18,MAAC
298,Houston Christian,9-18,Southland
299,Southeastern La.,7-21,Southland
300,East Texas A&M,9-19,Southland
301,Northern Ariz.,7-19,Big Sky
302,Tennessee Tech,10-17,OVC
303,West Ga.,11-16,ASUN
304,Norfolk St.,10-14,MEAC
305,Evansville,4-23,MVC
306,Jacksonville,9-19,ASUN
307,Alabama A&M,13-12,SWAC
308,Loyola Chicago,6-22,Atlantic 10
309,Little Rock,9-19,OVC
310,NJIT,14-14,America East
311,Wagner,9-16,NEC
312,Louisiana,10-20,Sun Belt
313,UMass Lowell,10-16,America East
314,Ark.-Pine Bluff,10-16,SWAC
315,IU Indy,5-23,Horizon
316,Texas Southern,9-16,SWAC
317,Cleveland St.,7-20,Horizon
318,Alabama St.,8-19,SWAC
319,NIU,7-18,MAC
320,Eastern Ill.,9-18,OVC
321,Ball St.,7-19,MAC
322,Lafayette,9-20,Patriot
323,Florida A&M,10-15,SWAC
324,Oral Roberts,5-22,Summit League
325,Manhattan,11-17,MAAC
326,Prairie View,8-17,SWAC
327,Stetson,8-20,ASUN
328,New Haven,10-17,NEC
329,Holy Cross,8-20,Patriot
330,CSU Bakersfield,6-21,Big West
331,UAlbany,7-19,America East
332,Loyola Maryland,9-19,Patriot
333,FDU,8-19,NEC
334,North Florida,5-23,ASUN
335,Army West Point,9-19,Patriot
336,Stonehill,9-19,NEC
337,Maine,7-21,America East
338,Bucknell,9-21,Patriot
339,North Ala.,7-19,ASUN
340,Chicago St.,6-23,NEC
341,Southern Ind.,5-22,OVC
342,New Hampshire,6-19,America East
343,UTSA,3-23,American
344,Alcorn,7-20,SWAC
345,N.C. Central,6-16,MEAC
346,Jackson St.,9-19,SWAC
347,Niagara,6-21,MAAC
348,Canisius,8-20,MAAC
349,UMES,6-20,MEAC
350,Morgan St.,9-14,MEAC
351,Air Force,3-25,Mountain West
352,The Citadel,6-21,SoCon
353,Saint Francis,5-23,NEC
354,Bryant,6-20,America East
355,ULM,2-26,Sun Belt
356,Kansas City,1-25,Summit League
357,Rider,3-23,MAAC
358,South Carolina St.,5-20,MEAC
359,VMI,3-24,SoCon
360,Binghamton,4-23,America East
361,Delaware St.,3-19,MEAC
362,Western Ill.,2-25,OVC
363,Gardner-Webb,1-26,Big South
364,Coppin St.,6-21,MEAC
365,Mississippi Val.,1-27,SWAC
